2026年闵行区公办小学招生划片范围
序号	学校名称	学校地址	招生划片范围
21	闵行区实验小学春城校区	伟业路228号	水仙苑（畹町路500弄 、春申路2728弄）、随园玉兰苑（伟业路388弄）、万科假日风景（畹町路99弄、畹町路100弄）、上海春城（莲花南路1288弄、莲花南路1108弄）、 绿地春申（莲花南路988弄）、莘南花苑一村(莘吉路49弄、莘吉路50弄)、莘南花苑二村（畹町路513弄、高兴路543弄）、江南名邸（高兴路666弄）、新空间（莘朱路651弄）、茉莉苑（春申路2768弄）、玫瑰九九（洱海路99弄）
22	闵行区实验小学畹町校区	高兴路389号	高兴花园（莘朱路863弄、莘朱路879弄）、中城绿苑（伟业路620弄、伟业路621弄）、常兴家园（莘朱路851弄）、莲花新村（春申路2458弄）、春馨苑（锦梅路1258弄）、行西村、集心村
23	闵行区实验小学景城校区	集心路201号	春申景城（莲花南路1111弄、兴梅路1199弄、锦梅路1500弄、锦梅路1398弄）、越秀仁恒天樾园和（春申路2333弄）
24	闵行区莘庄镇小学	莘浜路315号	长寿新村（莘东路51弄）、莘南新村（莘中路15弄）、益发公寓（莘浜路35弄）、康玫公寓（莘浜路215弄）、莘浜路(157弄、217弄 、285弄、341弄、351弄、380弄、46号、276号、284号)、恒丰苑（莘浜路303弄、莘浜路328弄）、银星大厦（莘浜路10弄）、团结花苑（莘建路375弄、莘浜路376弄、莘浜路428弄）、闵富花苑（莘松路475弄）、世纪名门（莘松路225弄）、莘建路（60弄、90弄、100号、119号）、莘建支路317弄、莘中新村（莘南路98弄）、闵富大厦（莘建路228弄）、世纪名苑（莘东路298弄）、三琳花园（莘松路415弄）、鑫鸿公寓（莘西路403弄45支弄）、莘松一村（莘谭路295弄）、莘松二村（莘谭路411弄）、莘松四村（莘松路470弄）、西街421弄、小西街、梅园村（莘浜路508弄）、公园天下（西园路128弄）、碧春园（中春路4915弄）、春申府邸（沪闵路5366弄）、邻里苑(沪闵路5600弄88支弄)、莘东路12弄、南街(51弄、44号、64号、56号、69号、129号、142号、143号、145号、148号）、小东街、莘西路（83弄、122弄、138弄、156弄、162弄）、兴中公寓（莘松路404弄）、莘建一村（莘建支路2弄、莘建路230弄）、莘南路（102号、104号、106号、108号、112号、114号、116号、118号、120号、122号、124号、126号、128号、290弄）、张家宅24号、缺口26号、莘东路火车站、莘松路19弄
25	闵行区莘庄镇小学南校区	莘西南路399号	美丽家园（莘西南路128弄）、沁春园一村（莘西南路380弄、莘西南路400弄）、沁春园二村（莘西南路155弄）、莘春景苑（莘西南路99弄）、沁春园三村（沁春路1366弄、沁春路1122弄）、源城春苑（沁春路168弄）、青春村（浦家塘、石家河圈、陆家塘、金家塘、沈家宅、杨家宅、陈家桥、顾家塘、吴家板桥、春申桥、盛家塘、柳家塘）、三春汇秀苑（沁春路355弄）
26	闵行区莘庄实验小学南校区	莘北路485号	绿梅一村(莘北路255弄)、森都公寓(莘北路50弄)、绿梅二村(莘凌路285弄)、绿梅公寓（莘凌路241弄）、绿梅三村（莘北路399弄）、金城绿苑（莘北路398弄）、西环公寓(西环路699弄)、西湖苑小区（西环路777弄）、莘北村、西环一村（西环路169弄）、西环二村（西环路171弄）、西环三村（莘谭路590弄）、西环四村（莘谭路588弄）、西环新村（莘松路625弄）、环绿公寓（莘沥路563弄）、柳明公寓（莘松路577弄）、莘松六村（莘沥路501弄）、莘松七村（莘沥路512弄）
27	闵行区莘庄实验小学北校区	东闸路99号	宝安新苑（疏影路789弄）、富林苑（中春路5839弄、疏影路999弄、疏影路838弄）、东苑新天地南区（疏影路711弄）、东苑新天地北区（疏影路758弄）、东苑福邸（群英路88弄）、东湖花园（疏影路1020弄）、莘城苑（疏影路1111弄）、林水美地苑（疏影路1188弄）、东苑新天地公寓（七莘路765弄1号）
28	闵行区新梅小学	报春路388弄48号	新梅花苑（报春路388弄、报春路488弄）、新梅公寓（报春路399弄、报春路485弄）、新梅广场（沪闵路6666弄）、佳佳花苑（报春路218弄）、东苑绿世界（沪闵路6918弄、报春路128弄、沪闵路6780弄）、莲浦花苑（沪闵路6988弄）、莘光苑（龙茗路149弄）、景和茗苑(龙茗路69弄)、虹莘路1200弄、虹莘小区（虹莘路1701弄、虹莘路1551弄）、虹莘家园（虹莘路1601弄）
29	闵行区第二实验小学申莘校区	春光路777号	申莘新村(申北路53弄)、申莘一村(申北路135弄)、申莘二村(申北路385弄)、申莘三村(申北路350弄)、正峰苑(申北路168弄)、锦峰苑(申北路555弄)、新金山花园(银都路3828弄)、金竹园(春东路950弄)、南郊别墅(中春路3455弄)、锦绣人家(春光路699弄)、名仕世家花苑(申北路566弄)
30	闵行区第二实验小学鑫都校区	瓶安路1801号	天恒名城（鑫都路2688弄）、仁和花苑（新源路3211弄）、云天绿洲（鑫都路2711弄）、柳岸人家（鑫都路2699弄）、鑫峰苑（鑫都路2535弄）、宝铭苑（瓶安路1600弄）、绿久苑（颛兴路747弄、颛兴路749弄）、春辉新村（颛兴路748弄）、颛溪十村（颛盛路469弄）、群力小洋房（联农路568弄）、紫磊洋房（光华路1061弄）、紫云华庭（新源路3122弄、新源路3200弄）
31	上海市闵行区田园外语实验小学	都市路4388号	剑桥景苑(都市路3800弄)、腾谷苑（都市路3700号）、怡泰苑（金都路2758号）、银都新村(银都路3118弄)、金都小区(银都路3151弄)、君临天下(银都路3399弄）、君临颐和（银都路3535弄)、好世凤凰城(银都路3536弄)
32	上海市闵行区田园外语实验小学金都校区	都市路3000号	贵峰苑（金都路3019弄）、贵都新村(都市路3635弄、丰顺路500弄)、兴银花园(丰顺路645弄、贵都路158弄)、好世樱缘(都市路3566弄、都市路3588弄)、众众德尚世嘉（都市路2899弄）、众众德尚都市府邸（都市路2888弄）、申良花园(贵都路345弄)、圣特丽墅(贵都路366弄)、今天花园(贵都路209弄)、盈嘉园(老沪闵路2828弄)、招商雍华苑（沪光路555弄）、剑桥馨苑（颛兴东路1550号）、东苑米兰城（老沪闵路3105弄）、名门世家（老沪闵路2788弄）、向阳村
